NCTId,Country,OverallStatus,StopCategory,StartYear
NCT06679582,Denmark,TERMINATED,Other,2024
NCT06679582,France,TERMINATED,Other,2024
NCT06679582,Canada,TERMINATED,Other,2024
NCT06679582,United States,TERMINATED,Other,2024
NCT05493020,China,UNKNOWN,No reason recorded,2022
NCT05077423,United States,TERMINATED,Sponsor/business decision,2022
NCT05696392,United States,TERMINATED,Low enrollment/accrual,2023
NCT01964300,United States,TERMINATED,Low enrollment/accrual,2014
NCT03275402,Japan,TERMINATED,Efficacy not met,2018
NCT03275402,United States,TERMINATED,Efficacy not met,2018
NCT03275402,Spain,TERMINATED,Efficacy not met,2018
NCT03275402,Denmark,TERMINATED,Efficacy not met,2018
NCT01199731,Belgium,TERMINATED,Safety concerns,2010
NCT01199731,Italy,TERMINATED,Safety concerns,2010
NCT01199731,Romania,TERMINATED,Safety concerns,2010
NCT01199731,Canada,TERMINATED,Safety concerns,2010
NCT01199731,United States,TERMINATED,Safety concerns,2010
NCT01343680,Canada,TERMINATED,Low enrollment/accrual,2011
NCT01969942,United States,WITHDRAWN,Low enrollment/accrual,2013
NCT00038389,United States,TERMINATED,Other,2001
NCT06317246,Italy,UNKNOWN,No reason recorded,2020
NCT02015728,United States,UNKNOWN,No reason recorded,2013
NCT06117956,Egypt,UNKNOWN,No reason recorded,2023
NCT02967341,Belgium,UNKNOWN,No reason recorded,2016
NCT00229879,United States,TERMINATED,Other,2004
NCT05606588,Switzerland,UNKNOWN,No reason recorded,2022
NCT04482933,United States,WITHDRAWN,Low enrollment/accrual,2025
NCT05899751,France,UNKNOWN,No reason recorded,2022
NCT05899751,Italy,UNKNOWN,No reason recorded,2022
NCT05899751,Spain,UNKNOWN,No reason recorded,2022
NCT03278145,France,UNKNOWN,No reason recorded,2017
NCT02989675,Malawi,TERMINATED,No reason recorded,2016
NCT06341712,Germany,TERMINATED,Low enrollment/accrual,2024
NCT06341712,Poland,TERMINATED,Low enrollment/accrual,2024
NCT06341712,Spain,TERMINATED,Low enrollment/accrual,2024
NCT06341712,Belgium,TERMINATED,Low enrollment/accrual,2024
NCT06341712,United Kingdom,TERMINATED,Low enrollment/accrual,2024
NCT06341712,Italy,TERMINATED,Low enrollment/accrual,2024
NCT06341712,Netherlands,TERMINATED,Low enrollment/accrual,2024
NCT06341712,France,TERMINATED,Low enrollment/accrual,2024
NCT06341712,Canada,TERMINATED,Low enrollment/accrual,2024
NCT06341712,United States,TERMINATED,Low enrollment/accrual,2024
NCT04070131,Spain,UNKNOWN,No reason recorded,2019
NCT03893539,United States,UNKNOWN,No reason recorded,2019
NCT01525251,Taiwan,UNKNOWN,No reason recorded,2009
NCT03183401,France,UNKNOWN,No reason recorded,2017
NCT00021229,United States,TERMINATED,Low enrollment/accrual,2001
NCT04221620,United States,UNKNOWN,No reason recorded,2020
NCT01121588,South Korea,TERMINATED,Sponsor/business decision,2011
NCT01121588,China,TERMINATED,Sponsor/business decision,2011
NCT01121588,Russia,TERMINATED,Sponsor/business decision,2011
NCT01121588,Taiwan,TERMINATED,Sponsor/business decision,2011
NCT01121588,Italy,TERMINATED,Sponsor/business decision,2011
NCT01121588,Japan,TERMINATED,Sponsor/business decision,2011
NCT01121588,United States,TERMINATED,Sponsor/business decision,2011
NCT01558453,Brazil,UNKNOWN,No reason recorded,2011
NCT00836875,Poland,TERMINATED,Low enrollment/accrual,2009
NCT00836875,Singapore,TERMINATED,Low enrollment/accrual,2009
NCT00836875,Spain,TERMINATED,Low enrollment/accrual,2009
NCT00836875,Thailand,TERMINATED,Low enrollment/accrual,2009
NCT00836875,Netherlands,TERMINATED,Low enrollment/accrual,2009
NCT00836875,Czechia,TERMINATED,Low enrollment/accrual,2009
NCT00836875,Canada,TERMINATED,Low enrollment/accrual,2009
NCT00836875,United States,TERMINATED,Low enrollment/accrual,2009
NCT04688931,Estonia,TERMINATED,Other,2021
NCT04688931,Latvia,TERMINATED,Other,2021
NCT04688931,Ukraine,TERMINATED,Other,2021
NCT04688931,Poland,TERMINATED,Other,2021
